nameseq,k1,k2,label
AAEL01000384.1/2844-2571,1.9808915538811263,3.938164885469495,cdbox
AAEE01000003.1/883306-883038,1.9813705520891114,3.936593669914199,cdbox
AAZY02000001.1/850089-849864,1.9926382311773945,3.9017492646384877,cdbox
ABPA01000112.1/172751-172525,1.9989539177052122,3.9589003192525007,cdbox
ABDB01000050.1/749589-749691,1.9992558211752738,3.9136697265943803,cdbox
ABFO01000069.1/3951-4046,1.9765906504305666,3.8457501423600404,cdbox
AM270162.1/34733-34641,1.9238249555631497,3.591786011437335,cdbox
AACD01000017.1/202498-202407,1.9660557838083375,3.7751080048861407,cdbox
AP007169.1/1056814-1056914,1.9412564418216003,3.7376152651426273,cdbox
AM920431.1/1133479-1133568,1.9575437330180632,3.686463495341999,cdbox
AACD01000006.1/37257-37396,1.9755695340520656,3.9227392116849296,cdbox
AM920430.1/196085-195955,1.9710493621032987,3.8845087282718125,cdbox
ABKH01000411.1/150082-150224,1.9565141009117721,3.846283047350572,cdbox
ABBS02000005.1/49246-49105,1.966591092938434,3.861798789615366,cdbox
AM921939.1/1-79,1.9667915315967248,3.808600419399703,cdbox
ABFN01002286.1/18465-18539,1.9474776902922422,3.7179571319851066,cdbox
AM921926.1/1-96,1.9091327995485863,3.752333631030164,cdbox
AP007161.1/1645458-1645553,1.945511530360264,3.839358962284364,cdbox
ACJE01000001.1/1049987-1049893,1.9296540318733935,3.782734253515978,cdbox
AAJN01000109.1/294816-294721,1.9620177925771696,3.847305146517664,cdbox
ABFN01001674.1/1569-1669,1.956114722494627,3.78062239642504,cdbox
AM921924.1/1-103,1.915391144792355,3.732619359835862,cdbox
AM270126.1/44992-44895,1.9314090346808968,3.78853735491423,cdbox
AAJI01001332.1/9180-9080,1.9490426844556836,3.7201179078476234,cdbox
AAJN01000116.1/81248-81329,1.930703542634835,3.7151171765373685,cdbox
AAKD03000028.1/39409-39327,1.9072462291232548,3.6629810740861726,cdbox
AM270160.1/33725-33807,1.9601300432510267,3.738795288320374,cdbox
ABAR01000017.1/60688-60770,1.960604917474394,3.8231315801811587,cdbox
AM921940.1/1-93,1.9594940977146469,3.7914088978274725,cdbox
AARE01007308.1/520-615,1.8898695666096474,3.657842611890326,cdbox
ABHV01000190.1/62758-62846,1.93976591436643,3.7161119073301827,cdbox
AM921941.1/1-88,1.9768271253461358,3.818024216228203,cdbox
ACBU01001064.1/82545-82636,1.932305931897793,3.7468991820347264,cdbox
AAIM02000027.1/316786-316700,1.9045628168676947,3.7078350806659204,cdbox
AASO01002524.1/351-456,1.9680519875087858,3.8322347612112355,cdbox
ABHV01000193.1/263095-263203,1.9601938376132417,3.8059115701178645,cdbox
AM921929.1/1-106,1.9735129192444965,3.8432285648550737,cdbox
