nameseq,k1,k2,label
X01556.1/3-118,0.690359168241966,0.8798459220838657,negative
X55260.1/3-119,0.6868431001890359,0.8777483266909479,negative
M16174.1/3-119,0.6848015122873347,0.877061840925993,negative
X55267.1/3-119,0.6849905482041588,0.8769092885337808,negative
M16172.1/3-119,0.6872211720226844,0.8781678457695314,negative
AF001265.1/6033-6149,0.6880907372400756,0.8785110886520089,negative
X05057.1/3-119,0.6880907372400756,0.8785110886520089,negative
X15126.1/3-120,0.6893383742911153,0.8780152933773193,negative
Z50737.1/3-119,0.6852551984877127,0.8774432219065235,negative
X55261.1/3-119,0.688015122873346,0.8789687458286455,negative
Z50059.1/3-119,0.6906238185255199,0.8807612364371389,negative
Z50061.1/3-119,0.6893761814744802,0.880112888770237,negative
Z50060.1/3-119,0.687750472589792,0.8788924696325394,negative
Z50075.1/3-119,0.6883553875236295,0.87927385061307,negative
Z50066.1/3-119,0.6872211720226843,0.8781678457695314,negative
Z50062.1/3-119,0.6891115311909264,0.8800366125741309,negative
Z50065.1/3-120,0.6900945179584121,0.878549226750062,negative
M33888.1/3-119,0.6872211720226844,0.8787017791422742,negative
X05526.1/2-115,0.6755009451795841,0.8706165023550276,negative
X75601.1/91-203,0.6726275992438564,0.8684807688640568,negative
X55251.1/3-116,0.677202268431002,0.8672603497263591,negative
X55259.1/3-117,0.680453686200378,0.8751167979252874,negative
X55254.1/3-119,0.6882041587901702,0.8788543315344863,negative
X00991.1/1-118,0.6963327032136106,0.8862149844587249,negative
K02348.1/1-119,0.6971644612476371,0.8863293987528842,negative
K02350.1/1-119,0.6989413988657845,0.8862912606548311,negative
K02349.1/1-119,0.6990170132325142,0.886253122556778,negative
X05233.1/1-119,0.6986389413988658,0.8861387082626189,negative
X06837.1/1-119,0.6985633270321361,0.8858717415762475,negative
X01534.1/1-119,0.6989792060491493,0.8875498178905817,negative
X01535.1/1-119,0.6994328922495274,0.8871302988119982,negative
AJ243001.2/1-116,0.6902457466918714,0.8819816555748364,negative
X04305.1/1-118,0.6955009451795842,0.8872065750081043,negative
J01888.1/1-119,0.6998109640831759,0.8875498178905817,negative
J01889.1/1-119,0.6998865784499055,0.8877786464789,negative
X01003.1/1-119,0.6996219281663516,0.886977746419786,negative
X00996.1/1-119,0.6993572778827978,0.8871302988119982,negative
AJ132198.1/1-116,0.689905482041588,0.8819816555748364,negative
AJ312082.1/1-119,0.6998109640831759,0.886977746419786,negative
X00020.1/1-119,0.6998487712665407,0.8870540226158921,negative
X03911.1/1-119,0.6986389413988658,0.8863675368509372,negative
X00998.1/1-119,0.6995085066162572,0.8869014702236799,negative
M35395.1/1-119,0.6992438563327033,0.8864056749489903,negative
X00994.1/1-119,0.6998487712665407,0.8873972654983695,negative
X06836.1/1-119,0.6981852551984877,0.8873209893022634,negative
M16074.1/307-425,0.6971644612476371,0.886977746419786,negative
X13035.1/1-119,0.6982986767485823,0.8864438130470433,negative
K02354.1/1-118,0.6945935727788279,0.8862912606548311,negative
M25201.1/1-119,0.6995841209829868,0.8873209893022634,negative
M35394.1/1-119,0.6993572778827979,0.8875498178905817,negative
X13037.1/1-119,0.699773156899811,0.8881600274594306,negative
X01518.1/1-119,0.6998109640831758,0.8878167845769531,negative
X83208.1/1-119,0.6980340264650284,0.8873209893022634,negative
X00992.1/1-119,0.699773156899811,0.8872065750081043,negative
X00022.1/1-119,0.6989413988657845,0.8875116797925287,negative
X01004.1/1-119,0.6994328922495274,0.8878930607730592,negative
AJ417699.1/1-119,0.6992060491493384,0.8879311988711123,negative
X00997.1/1-119,0.6990170132325142,0.8878930607730592,negative
X06834.1/1-119,0.6998865784499055,0.8873591274003165,negative
X01002.1/1-119,0.7010964083175804,0.8878930607730592,negative
X00993.1/1-119,0.6999243856332704,0.8875498178905817,negative
X05234.1/1-119,0.6993572778827978,0.8871302988119982,negative
X06835.1/1-119,0.7000378071833648,0.8880074750672183,negative
X57691.1/1-116,0.6895652173913044,0.8825918651436853,negative
AB015590.1/1-119,0.6979206049149338,0.886253122556778,negative
V00647.1/1-119,0.6981852551984877,0.8864438130470433,negative
V00648.1/1-119,0.6986389413988658,0.8872065750081043,negative
D00076.1/1-119,0.6990170132325142,0.8869396083217329,negative
X04309.1/2-120,0.6986389413988658,0.8867107797334146,negative
M10817.1/1-119,0.6970510396975426,0.8858717415762475,negative
X71804.1/109-227,0.6967863894139887,0.8855666367918231,negative
X12624.1/61-178,0.6944045368620038,0.8860242939684597,negative
X12622.1/1-118,0.6941020793950851,0.8856429129879292,negative
X16851.1/1-119,0.6970510396975426,0.8860624320665128,negative
M10850.1/361-479,0.6979206049149338,0.8860242939684597,negative
J01012.1/1-119,0.695538752362949,0.8855666367918231,negative
K01537.1/51-169,0.6977315689981096,0.8863675368509372,negative
J01009.1/607-725,0.6970510396975426,0.8856429129879293,negative
X00190.1/1-118,0.6944423440453686,0.8861387082626189,negative
M24954.1/1-119,0.699319470699433,0.8874735416944757,negative
X13034.1/1-119,0.69882797731569,0.8870540226158921,negative
V00476.1/1-119,0.6995085066162572,0.8878930607730592,negative
M27961.1/79-196,0.6964083175803403,0.8866345035373085,negative
X16225.1/825-943,0.7000000000000001,0.8876260940866878,negative
X01536.1/1-119,0.69765595463138,0.8872065750081043,negative
X01550.1/1-119,0.6993572778827979,0.8866726416353616,negative
M34003.1/489-607,0.6963705103969755,0.8861005701645659,negative
M28984.1/1-119,0.6963705103969755,0.886253122556778,negative
M36306.1/1-119,0.6990170132325142,0.8866345035373085,negative
X02036.1/1-119,0.6988657844990549,0.8853378082035048,negative
X06833.1/1-115,0.6867296786389414,0.8801891649663431,negative
AF072692.1/240-358,0.6995085066162572,0.8884651322438549,negative
X15199.1/158-276,0.699319470699433,0.8884651322438549,negative
X06844.1/1-119,0.6996219281663516,0.8885795465380141,negative
AF331021.1/183-301,0.6990548204158791,0.8883888560477489,negative
X65710.1/35-152,0.6954631379962193,0.8879311988711123,negative
X05059.1/1-119,0.6987523629489604,0.8882363036555366,negative
X56490.1/1-119,0.6987523629489604,0.8880074750672183,negative
X06843.1/1-119,0.6990548204158791,0.8882744417535897,negative
AF101250.1/1-119,0.6988657844990549,0.887702370282794,negative
X06840.1/1-119,0.6985633270321361,0.8878167845769531,negative
AF237335.1/140-258,0.6995463137996221,0.8880456131652714,negative
M18171.1/1-119,0.6995463137996221,0.8879693369691652,negative
X55697.1/1-119,0.6989413988657845,0.887702370282794,negative
X13040.1/1-118,0.6965595463137997,0.8860242939684597,negative
M18170.1/1-119,0.6986767485822306,0.8871684369100512,negative
X01620.1/1-118,0.6933459357277882,0.883163936614481,negative
X00378.1/2-120,0.6976181474480152,0.8875879559886348,negative
X00377.1/2-120,0.6960680529300567,0.8869396083217329,negative
M10435.1/2-120,0.6980340264650284,0.8866726416353616,negative
M10434.1/1-119,0.6996219281663516,0.8882363036555366,negative
M10433.1/1-119,0.6990170132325142,0.8878549226750061,negative
X06996.1/1-118,0.6953875236294895,0.8879693369691654,negative
X06995.1/1-119,0.6994328922495274,0.8881218893613775,negative
M10432.1/1-119,0.6970510396975426,0.8870158845178391,negative
M10436.1/2-120,0.6955009451795842,0.8861005701645659,negative
X01618.1/1-119,0.6987145557655955,0.8870158845178391,negative
X01619.1/1-119,0.6989413988657845,0.8869396083217329,negative
X01617.1/1-119,0.6979962192816636,0.8866345035373085,negative
M10437.1/2-120,0.6971644612476371,0.8856810510859823,negative
X52052.1/4-118,0.6862759924385633,0.8803035792605023,negative
X52049.1/2-120,0.6993194706994329,0.8879311988711123,negative
X52050.1/1-119,0.6975803402646503,0.8867489178314677,negative
M10358.1/2-120,0.6996975425330814,0.8875116797925287,negative
M10202.1/3-117,0.6868431001890359,0.880112888770237,negative
M10438.1/2-120,0.6994328922495274,0.8875116797925287,negative
X52047.1/2-120,0.7,0.8875116797925287,negative
X52048.1/2-120,0.7,0.8874354035964226,negative
V01420.1/2-120,0.6999243856332704,0.8873591274003165,negative
X52051.1/2-120,0.7000000000000001,0.8882744417535897,negative
J01851.1/1-119,0.6985633270321361,0.8871684369100513,negative
K02343.1/1-119,0.6994706994328923,0.8860624320665128,negative
J01872.1/1-119,0.699092627599244,0.8867489178314677,negative
AJ419791.1/210-328,0.6996975425330814,0.8865582273412025,negative
J01893.1/5-114,0.6696030245746692,0.8654297210198127,negative
X00475.1/121-239,0.6987901701323251,0.8858336034781945,negative
M25115.1/1-122,0.7042722117202269,0.8924696325394252,negative
M19136.1/148-266,0.6996975425330813,0.8867489178314677,negative
X01551.1/1-119,0.699092627599244,0.8869014702236799,negative
K03160.1/1-118,0.6953875236294895,0.8870540226158921,negative
M58368.1/1-118,0.6959546313799622,0.8873591274003165,negative
X00073.1/1-117,0.6904347826086956,0.8835071794969585,negative
X00074.1/1-118,0.6943289224952741,0.8866726416353616,negative
M58384.1/1-118,0.6947069943289226,0.8865963654392555,negative
K02344.1/1-118,0.6943289224952741,0.886977746419786,negative
K03168.1/1-118,0.6947448015122873,0.8873209893022634,negative
X01570.1/1-119,0.69765595463138,0.8865963654392555,negative
Z49275.1/645-762,0.6938374291115312,0.8864819511450963,negative
X06851.1/1-118,0.6950850661625709,0.8865963654392555,negative
X73890.1/1-118,0.6950850661625709,0.8868251940275738,negative
X73589.1/1-118,0.6932703213610586,0.8857573272820884,negative
M35578.1/1-118,0.6938374291115312,0.8863293987528842,negative
X00574.1/1-118,0.6938374291115312,0.8854903605957171,negative
K03169.1/1-118,0.6947448015122873,0.8860624320665128,negative
X06854.1/5-111,0.6573534971644612,0.8527678724662001,negative
M58383.1/4-115,0.6746313799621928,0.8714936786102476,negative
K03161.1/1-118,0.695992438563327,0.8875116797925287,negative
X06852.1/1-118,0.6954631379962193,0.8875116797925287,negative
X00575.1/1-121,0.7037051039697543,0.8929654278141149,negative
M35576.1/1-118,0.6969754253308129,0.8866726416353616,negative
X00069.1/1-118,0.6950094517958412,0.8876260940866878,negative
X00071.1/1-118,0.6960680529300567,0.8877405083808471,negative
X00070.1/1-118,0.6956899810964083,0.8876642321847409,negative
X00072.1/1-118,0.695765595463138,0.886977746419786,negative
M58387.1/5-112,0.6618147448015124,0.8539882916038978,negative
X67494.1/1-118,0.696219281663516,0.8867870559295208,negative
X05535.1/1-118,0.6933459357277882,0.8854140843996109,negative
X05534.1/1-118,0.6927788279773157,0.8852996701054519,negative
D16558.1/6715-6832,0.6922117202268431,0.884727598634656,negative
X05532.1/1-118,0.6921361058601134,0.8843462176541256,negative
X05533.1/1-118,0.6915689981096408,0.8843080795560725,negative
D00058.1/1-118,0.6955009451795842,0.8870540226158921,negative
M58385.1/5-116,0.6766351606805292,0.8729047882382106,negative
M36310.1/2-120,0.6991304347826088,0.8877405083808471,negative
M36307.1/1-119,0.699319470699433,0.8873209893022634,negative
M36308.1/1-119,0.699092627599244,0.8874354035964226,negative
M36309.1/1-120,0.7027221172022684,0.8895711370873934,negative
M36313.1/2-120,0.6996975425330814,0.8866726416353616,negative
X01543.1/1-118,0.6956899810964083,0.8877786464789,negative
M36312.1/2-120,0.6999243856332704,0.8874735416944757,negative
M36316.1/2-120,0.6992060491493384,0.8864819511450963,negative
M36315.1/3-121,0.6994706994328923,0.8867107797334146,negative
M36314.1/2-120,0.6996975425330814,0.8869396083217329,negative
X01544.1/1-118,0.6964083175803404,0.8874354035964226,negative
M28193.1/1-119,0.699773156899811,0.887702370282794,negative
M36311.1/2-120,0.6998865784499055,0.8870158845178391,negative
X58912.1/148-266,0.6998865784499055,0.8881600274594306,negative
V01120.1/2-120,0.7000756143667297,0.8865582273412025,negative
X00867.1/1-119,0.6998109640831758,0.8876260940866878,negative
X00865.1/1-119,0.6998109640831758,0.8888846513224385,negative
X00866.1/1-119,0.6994706994328923,0.888503270341908,negative
X00864.1/1-119,0.6998487712665407,0.8883888560477489,negative
X00687.1/1-119,0.6996219281663516,0.8875116797925287,negative
X00689.1/1-119,0.6992060491493384,0.8872828512042104,negative
X03567.1/108-226,0.6995085066162572,0.8875116797925287,negative
X00691.1/1-119,0.6990170132325142,0.8870540226158921,negative
X00692.1/1-119,0.6995085066162572,0.8875498178905817,negative
X16688.1/41-159,0.6983742911153119,0.8875498178905817,negative
X06849.1/1-119,0.6965595463137997,0.8881218893613775,negative
X06847.1/1-119,0.6960680529300567,0.887740508380847,negative
M35571.1/1-119,0.6973156899810964,0.8888846513224384,negative
X06848.1/1-119,0.6962948960302457,0.8883507179496958,negative
M35573.1/1-119,0.699546313799622,0.8902194847542952,negative
M35574.1/1-119,0.6996219281663516,0.8902957609504014,negative
X00067.1/1-119,0.6971644612476371,0.8875879559886348,negative
X00068.1/1-119,0.6983364839319471,0.8895711370873934,negative
M35572.1/1-119,0.6965595463137997,0.8878167845769531,negative
D10525.1/1-120,0.7025708884688091,0.8905245895387197,negative
D10532.1/1-120,0.7022684310018903,0.8906390038328789,negative
D10530.1/1-120,0.70234404536862,0.8902194847542952,negative
X16634.1/937-1057,0.7059357277882798,0.8908296943231441,negative
D10535.1/1-121,0.7056710775047259,0.8906390038328789,negative
D10529.1/1-121,0.7058601134215501,0.8905627276367727,negative
K01050.1/1-121,0.7060113421550094,0.8906008657348258,negative
M19950.1/1-120,0.7025330812854442,0.8905245895387197,negative
D10533.1/1-120,0.7025330812854442,0.8905627276367727,negative
D10527.1/1-120,0.7019659735349716,0.8904483133426135,negative
D10534.1/1-121,0.7060491493383743,0.8910585229114624,negative
D10528.1/1-121,0.7057088846880908,0.8912492134017276,negative
D10526.1/1-121,0.7056710775047259,0.8903338990484544,negative
D00063.1/1-121,0.7048771266540643,0.8902576228523483,negative
X05541.1/1-121,0.7046502835538753,0.8897999656757117,negative
X13222.1/1-121,0.7046880907372401,0.8901050704601361,negative
X68666.1/1-122,0.7088468809073725,0.8914017657939398,negative
K02362.1/1-121,0.7047258979206049,0.8891134799107568,negative
X01000.1/1-121,0.7044990548204159,0.8887320989302263,negative
D00062.1/1-121,0.7053686200378073,0.8889609275185446,negative
X05527.1/1-120,0.7021928166351608,0.8894948608912874,negative
D00061.1/1-120,0.7025708884688091,0.8898762418718178,negative
X00999.1/1-121,0.706124763705104,0.8902194847542952,negative
X05528.1/1-121,0.7058601134215501,0.8902576228523483,negative
M28975.1/65-183,0.7,0.8871302988119982,negative
X54477.1/2-120,0.6993572778827979,0.8878549226750061,negative
M25202.1/1-119,0.6996597353497165,0.8873591274003165,negative
M32450.1/1-119,0.6970888468809073,0.8854140843996109,negative
X02031.1/1-118,0.6962192816635161,0.8838504223794359,negative
X01484.1/2-120,0.6992060491493384,0.8860624320665128,negative
X06839.1/3-124,0.709905482041588,0.8946435041284491,negative
M38645.1/2-120,0.6999243856332704,0.8878930607730592,negative
X02706.1/2-120,0.6987523629489604,0.8872828512042104,negative
X02707.1/2-120,0.6998865784499055,0.8879693369691652,negative
K02345.1/1-118,0.6960680529300567,0.8868251940275738,negative
D00059.1/1-118,0.695765595463138,0.8870921607139451,negative
X06104.1/1-119,0.6977315689981096,0.886176846360672,negative
X06103.1/1-119,0.6990170132325142,0.8875116797925287,negative
AL445066.1/280290-280410,0.7052551984877127,0.89227894204916,negative
X07545.1/505-619,0.6815500945179584,0.8768330123376746,negative
U05019.1/544-658,0.6825708884688091,0.879350126809176,negative
M21086.1/8-123,0.6784499054820416,0.8771762552201522,negative
X05870.1/304-418,0.6830623818525521,0.8779390171812131,negative
X01588.1/5-119,0.6840831758034027,0.8783203981617437,negative
M16530.1/8-123,0.6782230623818526,0.8746210026505978,negative
AF034619.1/5584-5700,0.6871077504725898,0.8790068839266986,negative
L27163.1/1-119,0.693421550094518,0.8852615320073988,negative
X03407.1/5927-6048,0.7048771266540643,0.8917831467744703,negative
L27170.1/1-120,0.6975803402646502,0.8902957609504014,negative
L27168.1/1-120,0.7001512287334594,0.8894185846951812,negative
X72495.1/5075-5190,0.685179584120983,0.8774050838084704,negative
X14441.1/5-123,0.6961436672967865,0.889304170401022,negative
X02128.1/24-139,0.6874480151228732,0.8822486222612078,negative
L27236.1/1-122,0.7053308128544424,0.8934230849907515,negative
L27166.1/1-122,0.7050283553875236,0.890753418127038,negative
L27169.1/1-121,0.7027599243856333,0.8906771419309318,negative
L27167.1/1-122,0.703062381852552,0.889952518067924,negative
L27162.1/2-122,0.6990548204158791,0.8893423084990751,negative
L27343.1/3-116,0.6773534971644612,0.87164623100246,negative
X72588.1/6990-7093,0.6429489603024575,0.8326690947922428,negative
X62865.1/3-123,0.7051795841209829,0.8906008657348258,negative
M36188.1/5-125,0.7048015122873346,0.8907152800289849,negative
X62864.1/3-123,0.7051795841209829,0.8889990656165977,negative
X62860.1/3-123,0.7026465028355389,0.8913636276958867,negative
X62862.1/2-123,0.7083931947069944,0.8943765374420778,negative
M34910.1/5-126,0.7091115311909263,0.8946816422265021,negative
X62861.1/3-124,0.7087712665406427,0.8927365992257966,negative
X62863.1/2-121,0.7021928166351608,0.8918975610686295,negative
D90253.1/251-366,0.6887334593572778,0.8813714460059876,negative
X62859.1/3-124,0.7060491493383743,0.8920119753627886,negative
X62858.1/1-121,0.6996219281663516,0.8857954653801414,negative
X62857.1/1-121,0.6987145557655956,0.8857191891840354,negative
